NGO,district,match,urgency,fitness_score
CARE Nepal,Achham,0.5160940962525387,0.5671766740982975,0.4603785814423988
CARE Nepal,Arghakhanchi,0.6334918414855532,0.6276423434021874,0.6391151051419754
CARE Nepal,Baglung,0.48420938409049713,0.36660382767588834,0.43561145267548523
CARE Nepal,Baitadi,0.5912386106521152,0.6431268917914064,0.6231728936017259
CARE Nepal,Bajhang,0.31504605187414014,0.5118965751058198,0.3582558022170954
CARE Nepal,Bajura,0.6628580761846827,0.536969403000757,0.6329708683554612
CARE Nepal,Banke,0.6192159253689334,0.5330037056871251,0.6003901630039765
CARE Nepal,Bara,0.4241845307047288,0.36196796380232465,0.4084737830260687
CARE Nepal,Bardiya,0.24188945088036737,0.28293633123938855,0.22439466914610093
CARE Nepal,Bhaktapur,0.5081502107764576,0.4551955349857239,0.45200610473775416
CARE Nepal,Bhojpur,0.18705280074602432,0.1687264337448162,0.19310842765671268
CARE Nepal,Chitwan,0.22445212882752585,0.16186414889752168,0.20956715369862186
CARE Nepal,Dadeldhura,0.6172679573631934,0.521482596140549,0.6008707912062525
CARE Nepal,Dailekh,0.68550179237587,0.5390221917306149,0.6349114870177419
CARE Nepal,Dang,0.3865677513946064,0.3682731854473499,0.3924549315569691
CARE Nepal,Darchula,0.615089881662062,0.5666626745285267,0.6039323924843715
CARE Nepal,Dhading,0.5095242165459435,0.5806021589653699,0.4543619593999815
CARE Nepal,Dhankuta,0.3723770972744203,0.4691077615606536,0.4399188873973467
CARE Nepal,Dhanusha,0.3736375425879381,0.35223371523785724,0.39024888901153565
CARE Nepal,Dolakha,0.5037671909566613,0.6064301268307964,0.45758893537400647
CARE Nepal,Dolpa,0.1904403568320948,0.42011868750708603,0.24287998117701373
CARE Nepal,Doti,0.49477164939418933,0.5992495009247765,0.45658037792155437
CARE Nepal,Gorkha,0.4982528235630834,0.6436162299670792,0.4595092207954671
CARE Nepal,Gulmi,0.5072127348274056,0.4089255222656648,0.437824032456036
CARE Nepal,Humla,0.4916287806998294,0.534448458047724,0.4519947440307618
CARE Nepal,Ilam,0.23047803135547743,0.359758558845096,0.2406540098540575
CARE Nepal,Jajarkot,0.4632502663663602,0.38058750142151737,0.43823589443039196
CARE Nepal,Jhapa,0.5577517042919299,0.3175500010478494,0.5002965723075963
CARE Nepal,Jumla,0.20546063659367245,0.24299229703966133,0.219808105658602
CARE Nepal,Kailali,0.5582931962535574,0.39999155168708234,0.5061848461295602
CARE Nepal,Kalikot,0.4473600072642885,0.31827681735887614,0.40300209667485737
CARE Nepal,Kanchanpur,0.5704664156308623,0.36864954789384446,0.5134367843160527
CARE Nepal,Kapilvastu,0.6763879089500219,0.42561450954734253,0.6050385938418398
CARE Nepal,Kaski,0.40212236491877523,0.46169278136911607,0.4226800920039839
CARE Nepal,Kathmandu,0.5039001122474659,0.4565668177989648,0.45180014093704085
CARE Nepal,Kavrepalanchok,0.521980637438731,0.47743142476019584,0.47341182460823866
CARE Nepal,Khotang,0.21414593544948016,0.18777734474489707,0.21337344290212837
CARE Nepal,Lalitpur,0.4699483193977497,0.38616739174304016,0.4400228542670489
CARE Nepal,Lamjung,0.2823529805037832,0.24864902084675278,0.2609548712110649
CARE Nepal,Mahottari,0.5249259602463492,0.4567945850772713,0.5115707035560718
CARE Nepal,Makwanpur,0.3090489093317603,0.2933196441760773,0.30326499503068677
CARE Nepal,Manang,0.4184432697471256,0.4395955404852978,0.4265606239331401
CARE Nepal,Morang,0.5474163151154461,0.5047447912163777,0.5312290356097743
CARE Nepal,Mugu,0.3711425702471876,0.39872018497953265,0.3993100844969076
CARE Nepal,Mustang,0.6165371868029697,0.5217662001903239,0.6008707912062525
CARE Nepal,Myagdi,0.5356491498241951,0.5693355935088609,0.5495554637557823
CARE Nepal,Nawalpur,0.45177002548263634,0.4479431025683369,0.4467620824997283
CARE Nepal,Nuwakot,0.5124539418627504,0.5300728314302957,0.45952624538462233
CARE Nepal,Okhaldhunga,0.27969019372814946,0.2247593952200981,0.2539917494485476
CARE Nepal,Palpa,0.2997490003804578,0.38246344248754593,0.3093810087253044
CARE Nepal,Panchthar,0.24713391950498478,0.33536810703938724,0.23605665550370356
CARE Nepal,Parasi,0.5653159452963262,0.4553003843967535,0.5451012447687344
CARE Nepal,Parbat,0.5777322232392879,0.46282513870707637,0.5691497113184621
CARE Nepal,Parsa,0.6304364253716097,0.42885366636501515,0.5839853465764804
CARE Nepal,Pyuthan,0.39944739277179836,0.40447779638213455,0.40418822475375593
CARE Nepal,Ramechhap,0.5120977872735405,0.5336474744108785,0.45952624538462233
CARE Nepal,Rasuwa,0.5188360304040999,0.5053370138013212,0.47122585158142516
